No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
456,GDEX-WC [S],0078WC,,0.09,0.085,+0.005,+5.88,2808,4300,0.085,0.09,1073,0.09,0.085,0078WC
457,PCCS [S],6068,,0.45,0.455,-0.005,-1.10,2788,62,0.45,0.46,514,0.46,0.45,6068
458,MAGNUM,3859,s,1.91,1.93,-0.020,-1.04,2779,1165,1.9,1.91,310,1.94,1.91,3859
459,BPPLAS-WA [S],5100WA,,0.415,0.415,-,-,2759,599,0.41,0.425,74,0.44,0.41,5100WA
460,KPOWER-WA [S],7130WA,,0.095,0.1,-0.005,-5.00,2742,8692,0.095,0.1,1855,0.1,0.095,7130WA
461,HARBOUR [S],2062,,1.2,1.23,-0.030,-2.44,2736,959,1.2,1.22,100,1.23,1.2,2062
462,MUDAJYA,5085,,0.185,0.185,-,-,2733,11231,0.18,0.185,162,0.19,0.185,5085
463,CSH,7165,,0.115,0.115,-,-,2713,5220,0.11,0.115,8995,0.115,0.11,7165
464,KERJAYA [S],7161,s,1.15,1.2,-0.050,-4.17,2650,308,1.15,1.17,425,1.2,1.15,7161
465,IDEAL [S],9687,,1.37,1.33,+0.040,+3.01,2649,200,1.34,1.37,312,1.37,1.35,9687
466,SCOMIES [S],7045,,0.07,0.07,-,-,2649,250,0.065,0.07,1851,0.07,0.07,7045
467,MPI [S],3867,s,46.8,47.0,-0.200,-0.43,2635,2,46.8,46.98,1,47.5,46.36,3867
468,XL-WA [S],7121WA,,0.19,0.19,-,-,2620,2267,0.185,0.19,257,0.195,0.185,7121WA
469,AWANTEC-WA [S],5204WA,,0.335,0.36,-0.025,-6.94,2554,1053,0.335,0.345,100,0.34,0.335,5204WA
470,HENGYUAN [S],4324,s,3.91,3.91,-,-,2547,390,3.9,3.91,12,3.99,3.91,4324
471,UOAREIT,5110,s,1.14,1.15,-0.010,-0.87,2512,725,1.14,1.15,200,1.15,1.14,5110
472,LAGENDA [S],7179,s,1.33,1.34,-0.010,-0.75,2499,594,1.32,1.33,10,1.34,1.32,7179
473,WEGMANS [S],0197,,0.245,0.245,-,-,2400,1900,0.235,0.245,983,0.245,0.24,0197
474,BREM,8761,,1.16,1.15,+0.010,+0.87,2399,8080,1.15,1.17,2772,1.16,1.15,8761
475,PADINI [S],7052,s,3.0,3.01,-0.010,-0.33,2379,1040,2.96,3.0,608,3.02,2.97,7052
476,MNRB,6459,s,1.16,1.13,+0.030,+2.65,2363,18,1.16,1.17,241,1.17,1.13,6459
477,BJTOTO,1562,s,1.91,1.94,-0.030,-1.55,2356,403,1.91,1.92,635,1.94,1.91,1562
478,MYCRON [S],5087,,0.435,0.435,-,-,2301,700,0.42,0.435,249,0.44,0.435,5087
479,GDB [S],0198,s,0.445,0.45,-0.005,-1.11,2263,3310,0.445,0.455,695,0.45,0.445,0198
480,KLCC [S],5235SS,s,6.42,6.51,-0.090,-1.38,2245,71,6.42,6.51,32,6.54,6.42,5235SS
481,ATTA-WB [S],7099WB,,0.035,0.03,+0.005,+16.67,2239,471,0.035,0.04,1305,0.04,0.03,7099WB
482,KPPROP [S],7077,,0.635,0.635,-,-,2237,845,0.625,0.635,58,0.635,0.625,7077
483,GCB [S],5102,s,2.73,2.8,-0.070,-2.50,2164,41,2.73,2.74,3,2.8,2.73,5102
484,TEOSENG,7252,,0.81,0.8,+0.010,+1.25,2160,223,0.81,0.815,310,0.81,0.79,7252
485,LUXCHEM [S],5143,s,0.69,0.695,-0.005,-0.72,2148,2001,0.69,0.695,342,0.7,0.69,5143
486,ENGTEX [S],5056,,0.615,0.63,-0.015,-2.38,2084,129,0.615,0.62,12,0.63,0.61,5056
487,CHOOBEE [S],5797,,1.89,1.93,-0.040,-2.07,2082,27,1.89,1.91,50,1.94,1.87,5797
488,GCAP [S],7676,,0.535,0.53,+0.005,+0.94,2022,98,0.53,0.535,10,0.535,0.515,7676
489,PERDANA [S],7108,,0.13,0.125,+0.005,+4.00,2011,12764,0.12,0.13,18308,0.13,0.125,7108
490,DPS-WB [S],7198WB,,0.05,0.045,+0.005,+11.11,2001,12206,0.045,0.05,8376,0.05,0.045,7198WB
491,WASEONG [S],5142,s,0.645,0.66,-0.015,-2.27,1963,200,0.645,0.65,288,0.66,0.645,5142
492,RHONEMA-WA,5278WA,,0.2,0.215,-0.015,-6.98,1922,178,0.2,0.215,296,0.2,0.2,5278WA
493,TURIYA [S],4359,,0.21,0.22,-0.010,-4.55,1921,415,0.21,0.215,200,0.215,0.21,4359
494,PMCORP,4081,,0.13,0.125,+0.005,+4.00,1906,200,0.12,0.125,200,0.13,0.125,4081
495,MUIPROP [S],3913,,0.175,0.175,-,-,1904,733,0.175,0.18,1580,0.175,0.175,3913
496,SJC-WA [S],9431WA,,0.99,1.01,-0.020,-1.98,1897,50,0.95,0.99,200,1.01,0.99,9431WA
497,OKA [S],7140,,0.8,0.815,-0.015,-1.84,1893,300,0.8,0.815,38,0.82,0.8,7140
498,ALLIANZ-PA,1163PA,,13.2,13.18,+0.020,+0.15,1871,20,13.18,13.2,15,13.3,13.18,1163PA
499,SUNWAY-WB [S],5211WB,,0.405,0.405,-,-,1857,500,0.4,0.405,332,0.405,0.405,5211WB
500,IGBB,5606,s,1.93,1.97,-0.040,-2.03,1856,178,1.93,1.97,213,1.97,1.93,5606
501,F&N [S],3689,s,24.7,24.4,+0.300,+1.23,1855,182,24.4,24.7,41,24.7,24.34,3689
502,ALLIANZ,1163,s,13.26,13.26,-,-,1829,4,13.26,13.28,66,13.36,13.26,1163
503,TOMEI,7230,,0.915,0.905,+0.010,+1.10,1821,24,0.915,0.92,180,0.925,0.905,7230
504,HLFG,1082,s,18.56,18.7,-0.140,-0.75,1815,32,18.56,18.6,14,18.94,18.56,1082
505,M&G,5078,,0.08,0.08,-,-,1810,2340,0.075,0.08,200,0.08,0.075,5078
506,ECOHLDS [S],0059,,0.165,0.17,-0.005,-2.94,1764,3210,0.16,0.165,276,0.17,0.16,0059
507,ENGKAH-WB [S],7149WB,,0.125,0.135,-0.010,-7.41,1764,396,0.125,0.13,150,0.13,0.125,7149WB
508,PRTASCO [S],5070,,0.215,0.215,-,-,1714,2500,0.21,0.215,221,0.215,0.215,5070
509,IBHD-PA,4251PA,,0.3,0.3,-,-,1700,1955,0.3,0.305,400,0.3,0.3,4251PA
510,PUNCAK [S],6807,,0.33,0.335,-0.005,-1.49,1697,55,0.33,0.335,1614,0.34,0.33,6807
511,SUBUR,6904,,1.24,1.26,-0.020,-1.59,1653,290,1.24,1.25,95,1.28,1.23,6904
512,TGUAN [S],7034,s,2.85,2.87,-0.020,-0.70,1627,22,2.85,2.86,182,2.88,2.84,7034
513,JAYCORP [S],7152,,0.82,0.805,+0.015,+1.86,1616,513,0.815,0.82,80,0.835,0.815,7152
514,KOTRA [S],0002,,3.25,3.16,+0.090,+2.85,1613,224,3.25,3.28,55,3.28,3.15,0002
515,IGBCR,5299,,0.615,0.62,-0.005,-0.81,1593,1775,0.615,0.625,350,0.62,0.615,5299
516,OMESTI-WC [S],9008WC,,0.1,0.105,-0.005,-4.76,1592,268,0.1,0.105,442,0.1,0.1,9008WC
517,CSCSTEL [S],5094,s,1.32,1.34,-0.020,-1.49,1580,329,1.32,1.34,466,1.35,1.32,5094
518,EDGENTA [S],1368,s,1.66,1.68,-0.020,-1.19,1580,244,1.65,1.66,496,1.69,1.66,1368
519,NOVA,0201,,1.03,1.05,-0.020,-1.90,1574,25,1.02,1.03,44,1.06,1.01,0201
520,SCICOM,0099,,1.13,1.15,-0.020,-1.74,1552,999,1.13,1.14,481,1.15,1.13,0099
521,SENTRAL,5123,s,0.92,0.92,-,-,1551,76,0.915,0.92,992,0.92,0.915,5123
522,AXTERIA-WA [S],7120WA,,0.115,0.105,+0.010,+9.52,1550,100,0.11,0.115,100,0.115,0.11,7120WA
523,HSL [S],6238,s,1.34,1.34,-,-,1547,1811,1.34,1.35,1938,1.35,1.34,6238
524,BOILERM [S],0168,s,0.955,0.975,-0.020,-2.05,1541,210,0.955,0.97,324,0.98,0.955,0168
525,OLYMPIA,3018,,0.085,0.095,-0.010,-10.53,1540,11079,0.085,0.09,2354,0.09,0.085,3018
526,HOMERIZ [S],5160,,0.595,0.595,-,-,1534,1249,0.585,0.595,191,0.595,0.585,5160
527,RGTBHD-WB [S],9954WB,,0.55,0.59,-0.040,-6.78,1527,1000,0.535,0.55,511,0.585,0.55,9954WB
528,GOB [S],1147,,0.23,0.23,-,-,1518,27,0.23,0.235,565,0.23,0.225,1147
