No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
757,SUPERLN [S],7235,,0.835,0.825,+0.010,+1.21,206,10,0.82,0.835,114,0.84,0.82,7235
758,CME-WA [S],7018WA,,0.045,0.05,-0.005,-10.00,203,847,0.045,0.05,2270,0.05,0.045,7018WA
759,OIB-WA [S],5827WA,,0.16,0.165,-0.005,-3.03,202,1000,0.155,0.16,698,0.16,0.155,5827WA
760,DELEUM,5132,,0.515,0.52,-0.005,-0.96,200,20,0.505,0.515,170,0.515,0.515,5132
761,EUROSP [S],7094,,1.11,1.1,+0.010,+0.91,200,300,1.1,1.2,25,1.11,1.1,7094
762,ICAP,5108,,2.2,2.23,-0.030,-1.35,200,22,2.19,2.23,100,2.2,2.2,5108
763,PEB [S],5622,,1.54,1.59,-0.050,-3.14,200,400,1.53,1.58,158,1.55,1.54,5622
764,HSSEB-WA [S],0185WA,,0.05,0.08,-0.030,-37.50,190,150,0.065,0.09,220,0.06,0.05,0185WA
765,GBGAQRS-WB [S],5226WB,,0.09,0.095,-0.005,-5.26,187,98,0.09,0.1,974,0.095,0.09,5226WB
766,EUPE [S],6815,,0.82,0.815,+0.005,+0.61,185,720,0.82,0.825,148,0.82,0.815,6815
767,TONGHER [S],5010,,2.9,2.9,-,-,182,33,2.9,2.94,20,2.92,2.88,5010
768,HSPLANT [S],5138,s,2.0,2.07,-0.070,-3.38,181,25,2.0,2.06,80,2.02,2.0,5138
769,KSENG,3476,,3.43,3.43,-,-,180,30,3.42,3.48,30,3.43,3.43,3476
770,TOYOVEN-WB [S],7173WB,,0.4,0.4,-,-,180,30,0.395,0.4,40,0.4,0.4,7173WB
771,SHH [S],7412,,0.47,0.475,-0.005,-1.05,179,14,0.47,0.54,224,0.48,0.465,7412
772,SAPNRG-PA [S],5218PA,,0.065,0.06,+0.005,+8.33,174,1,0.065,0.09,100,0.065,0.065,5218PA
773,TJSETIA [S],5297,,0.46,0.46,-,-,170,347,0.46,0.47,997,0.46,0.46,5297
774,UMCCA [S],2593,s,5.11,5.11,-,-,169,55,5.11,5.26,1,5.11,5.11,2593
775,PRKCORP,8346,,0.42,0.445,-0.025,-5.62,165,585,0.42,0.445,363,0.42,0.42,8346
776,HOHUP [S],5169,,0.34,0.335,+0.005,+1.49,163,90,0.33,0.34,1047,0.34,0.33,5169
777,YSPSAH [S],7178,,2.0,2.0,-,-,155,18,1.96,2.0,30,2.0,2.0,7178
778,PESONA [S],8311,,0.245,0.245,-,-,152,1198,0.24,0.245,903,0.245,0.24,8311
779,OIB [S],5827,,0.95,0.95,-,-,150,40,0.95,0.97,100,0.96,0.95,5827
780,PENSONI [S],9997,,0.635,0.6,+0.035,+5.83,150,100,0.61,0.63,202,0.635,0.62,9997
781,LATITUD [S],7006,,1.64,1.6,+0.040,+2.50,148,25,1.62,1.64,21,1.64,1.6,7006
782,ELKDESA,5228,,1.34,1.33,+0.010,+0.75,141,100,1.33,1.34,22,1.34,1.32,5228
783,HLIND [S],3301,s,9.17,9.18,-0.010,-0.11,140,4,9.16,9.21,26,9.21,9.17,3301
784,SPSETIA-PB [S],8664PB,,0.88,0.875,+0.005,+0.57,140,860,0.88,0.885,500,0.88,0.88,8664PB
